Date,y_real,VaR_95,ES_95,VaR_99,ES_99,violation_95,violation_99
2022-05-18,-0.0412338179284718,-0.0233015792292793,-0.041923361851145,-0.046948119187411,-0.0744677624126321,1,0
2022-05-19,-0.005850866727327,-0.04564666068153,-0.0851418066299211,-0.1000727749302167,-0.1680945531642848,0,0
2022-05-20,0.0001461392036061,-0.0426570031817747,-0.0763627040487459,-0.0869811196305809,-0.1520065613611478,0,0
2022-05-23,0.0183849973144422,-0.0311460561835029,-0.0559442741483578,-0.0626371613892996,-0.104211997621017,0,0
2022-05-24,-0.0081539459482493,-0.0444788253705354,-0.0713468037993448,-0.0883507785392466,-0.1704463510474866,0,0
2022-05-25,0.0094063856025386,-0.0316119288025743,-0.0483384722774629,-0.0621864574012452,-0.0834490061404746,0,0
2022-05-26,0.0196881640829973,-0.0261460613549275,-0.0441154906191188,-0.0519045494168654,-0.0798415559021076,0,0
2022-05-27,0.0244411189449116,-0.0448407117951643,-0.0812622705239294,-0.0897076277089099,-0.164770744955151,0,0
2022-05-31,-0.0062941274941474,-0.0531991997968666,-0.1060519140742398,-0.1251049998799006,-0.405143286896568,0,0
2022-06-01,-0.0075108997116661,-0.0501355904110978,-0.1044576333566951,-0.1231618817973575,-0.2068509817428047,0,0
2022-06-02,0.0182632148548837,-0.0509105012821353,-0.0953512648360642,-0.1226603256222335,-0.1823576683846922,0,0
2022-06-03,-0.0164824093190815,-0.0514448589903172,-0.1203399606065089,-0.1203685010876143,-0.2179776515462161,0,0
2022-06-06,0.0031325047909687,-0.0467001513018254,-0.1288817036032274,-0.1156535356990952,-0.2712329982780682,0,0
2022-06-07,0.0094783314762854,-0.0397487746602226,-0.0803199719379418,-0.0966898704787502,-0.1613094871176772,0,0
2022-06-08,-0.0108526336064851,-0.0349964995461523,-0.0734849572828323,-0.0862796954264659,-0.1718103363097179,0,0
2022-06-09,-0.0240864450446161,-0.0258751302379275,-0.0459314406194676,-0.0524368582750154,-0.0884128214882959,0,0
2022-06-10,-0.0295424245891073,-0.0296545906889851,-0.0552454625240629,-0.0615865934131358,-0.0896692897554769,0,0
2022-06-13,-0.0395399255036289,-0.0346062982314897,-0.0598275082859869,-0.0726997290749928,-0.1199925227551171,1,0
2022-06-14,-0.003780817394697,-0.0458193255944718,-0.0810809660504993,-0.1108056141260992,-0.214185126177676,0,0
2022-06-15,0.0144870561846448,-0.0438344410181658,-0.0893242808487014,-0.104882328650415,-0.1999505689292288,0,0
2022-06-16,-0.0330522150170839,-0.0385264546767954,-0.0742435265721636,-0.0910149635857025,-0.1684302779085623,0,0
