Date,y_real,mu_pred,sigma_pred,VaR_95,ES_95,VaR_99,ES_99,violation_95,violation_99
2024-09-17,0.0002645267427811,0.0014243232313043,0.0082552789479899,-0.0175578944164958,-0.0275172507542925,-0.0343963724764172,-0.0480097395504014,0,0
2024-09-18,-0.0029006564721475,0.0012543108453378,0.0081899549739171,-0.0173928568045098,-0.0288610847515123,-0.0336051835113421,-0.0442120340317424,0,0
2024-09-19,0.0168343443477752,0.0007931713274933,0.0077008434409599,-0.0170487586246422,-0.0281176255692001,-0.0331200977058924,-0.0610452365374156,0,0
2024-09-20,-0.0019429080255091,0.0007580533399675,0.0049906830339189,-0.0103742060313164,-0.0174991061203107,-0.0196526873474732,-0.0269399588593034,0,0
2024-09-23,0.0028053310126077,0.0001795614917875,0.0067650945776684,-0.0150087910587434,-0.0238568681329766,-0.0278387555110787,-0.0418434679289625,0,0
2024-09-24,0.002508039562949,0.0003504827023847,0.0056988124577229,-0.0123323452091098,-0.0189266138888515,-0.0228532137179117,-0.0312257950264969,0,0
2024-09-25,-0.0018629814234676,0.0003516963498704,0.00585973427386,-0.0130806857012076,-0.0209110487353514,-0.0249216394755115,-0.0332981568277887,0,0
2024-09-26,0.0040305331594179,0.0017322877452469,0.0065259705849048,-0.0130069726623623,-0.0217897364460522,-0.0256116947756452,-0.034624336632154,0,0
2024-09-27,-0.001254003720724,0.0016646691603671,0.0052317355265551,-0.009982370826497,-0.0177350750664157,-0.0196503963646214,-0.0287298252468944,0,0
2024-09-30,0.0042276108600152,0.0015249116934305,0.0056789019170602,-0.0113135032884953,-0.019691855251096,-0.0223143145140367,-0.0331142352044346,0,0
2024-10-01,-0.009367852083837,0.0015550619126637,0.0051842185569696,-0.0099974617749774,-0.0168806143908872,-0.0196064767981585,-0.0292015601126613,0,0
2024-10-02,0.0001383744853669,-0.0001018306590467,0.0065432081277212,-0.0148135753323624,-0.0244204716583979,-0.0272785809214803,-0.0419922323723674,0,0
2024-10-03,-0.00168282907717,0.000806422805655,0.0075177834475622,-0.0161378242721781,-0.0248772536964775,-0.0305666990363518,-0.0444326368140763,0,0
2024-10-04,0.0089302587523443,0.0016031921573027,0.0057485730950326,-0.0112155791522949,-0.0185448050349982,-0.021892741833241,-0.0403252159420931,0,0
2024-10-07,-0.009632266887648,0.00223947994638,0.0057244900653214,-0.0106287123702591,-0.0170196222119595,-0.0215269094047388,-0.0331982374260407,0,0
2024-10-08,0.0096427170626699,0.0007237257184539,0.0077829197407445,-0.0167997195695054,-0.0261994872956929,-0.0316896150850686,-0.049533001568389,0,0
2024-10-09,0.0070882212842818,0.0020211518586024,0.0059291062667887,-0.0112516343695314,-0.018465870563676,-0.022396249740434,-0.0283920007540818,0,0
2024-10-10,-0.0020722625727921,0.0006982100328949,0.0069441654090901,-0.0149442062686012,-0.0244783549683971,-0.02824881216215,-0.0432774928936313,0,0
2024-10-11,0.0060336120709305,0.0001783607379781,0.0073563465371056,-0.0163293968193611,-0.0261661854127325,-0.0302599207184032,-0.0405827340053037,0,0
2024-10-14,0.0076781124219092,0.0023692599933605,0.0063139478223292,-0.0118248384527408,-0.0203414634876709,-0.0238474475776656,-0.048027746040561,0,0
2024-10-15,-0.007638560526309,0.0002336144498643,0.0062993313363498,-0.0138134357865637,-0.0208388899368116,-0.0255139137106061,-0.0344923365879614,0,0
2024-10-16,0.0046682243309443,0.0035990411432305,0.0073358563144667,-0.0127879812052553,-0.0226080262830404,-0.0264870479076951,-0.0394645569831331,0,0
2024-10-17,-0.000171175128973,0.0007316846052656,0.0050682406434228,-0.010562629961888,-0.0168667658294019,-0.0199572829235046,-0.0319640049374518,0,0
2024-10-18,0.0039636857539099,-8.065210305260097e-05,0.0066111240724929,-0.0148974164938507,-0.0233459508996669,-0.0273684074916987,-0.0441646011640791,0,0
2024-10-21,-0.001824425690051,0.0004778716974941,0.0059190508296463,-0.012762643823705,-0.0201421276414111,-0.0238632241138693,-0.0372600424433626,0,0
2024-10-22,-0.0004749692024832,0.0012714794213184,0.0060649785650532,-0.0122458807557137,-0.0183717604744271,-0.0234928933945669,-0.033520008732199,0,0
2024-10-23,-0.0092338288420275,-0.0012862187453679,0.0067745235868026,-0.0164541130740359,-0.0233875565756479,-0.0291944425742404,-0.0385872542528809,0,0
2024-10-24,0.0021434832238619,-0.0007856870453288,0.0064288952136288,-0.0151134747582595,-0.0226644498079973,-0.0270336680363304,-0.043147618394725,0,0
2024-10-25,-0.0002995012924803,0.0007110674272757,0.0055755858745889,-0.0119222259903146,-0.019185808578565,-0.022797475320362,-0.0396876117748376,0,0
2024-10-28,0.0026479342320958,-0.0020076825776481,0.0064105317126584,-0.0163379854576599,-0.0261436202518531,-0.0283355388452695,-0.0408587301977298,0,0
2024-10-29,0.0016128255484917,0.0007964458768307,0.0050997308100533,-0.0105684675501756,-0.0176520671085004,-0.0200225779581381,-0.0268885999177574,0,0
