,date,open,high,low,close,adjusted_close,volume
1047,2021-03-03,3863.99,3874.47,3818.8601,3819.72,3819.72,6173660000
1048,2021-03-04,3818.53,3843.6699,3723.3401,3768.47,3768.47,7195400000
1049,2021-03-05,3793.5801,3851.6899,3730.1899,3841.9399,3841.9399,6851070000
1050,2021-03-08,3844.3899,3881.0601,3819.25,3821.3501,3821.3501,5871710000
1051,2021-03-09,3851.9299,3903.76,3851.9299,3875.4399,3875.4399,5513560000
1052,2021-03-10,3891.99,3917.3501,3885.73,3898.8101,3898.8101,5847380000
1053,2021-03-11,3915.54,3960.27,3915.54,3939.3401,3939.3401,5312880000
1054,2021-03-12,3924.52,3944.99,3915.21,3943.3401,3943.3401,4476280000
1055,2021-03-15,3942.96,3970.0801,3923.54,3968.9399,3968.9399,4900100000
1056,2021-03-16,3973.5901,3981.04,3953.4399,3962.71,3962.71,4613080000
1057,2021-03-17,3949.5701,3983.8701,3935.74,3974.1201,3974.1201,4561660000
1058,2021-03-18,3953.5,3969.6201,3910.8601,3915.46,3915.46,5118590000
1059,2021-03-19,3913.1399,3930.1201,3886.75,3913.1001,3913.1001,7757420000
1060,2021-03-22,3916.48,3955.3101,3914.1599,3940.5901,3940.5901,4316260000
1061,2021-03-23,3937.6001,3949.1299,3901.5701,3910.52,3910.52,4669010000
1062,2021-03-24,3919.9299,3942.0801,3889.0701,3889.1399,3889.1399,4783020000
1063,2021-03-25,3879.3401,3919.54,3853.5,3909.52,3909.52,4948340000
1064,2021-03-26,3917.1201,3978.1899,3917.1201,3974.54,3974.54,5483160000
1065,2021-03-29,3969.3101,3981.8301,3943.25,3971.0901,3971.0901,4628180000
1066,2021-03-30,3963.3401,3968.01,3944.3501,3958.55,3958.55,4121510000
1067,2021-03-31,3967.25,3994.4099,3966.98,3972.8899,3972.8899,4578050000
1068,2021-04-01,3992.78,4020.6299,3992.78,4019.8701,4019.8701,4162130000
1069,2021-04-05,4034.4399,4083.4199,4034.4399,4077.9099,4077.9099,4005030000
1070,2021-04-06,4075.5701,4086.23,4068.1399,4073.9399,4073.9399,4081270000
1071,2021-04-07,4074.29,4083.1299,4068.3101,4079.95,4079.95,4120810000
1072,2021-04-08,4089.95,4098.1899,4082.54,4097.1699,4097.1699,3907100000
1073,2021-04-09,4096.1099,4129.48,4095.51,4128.7998,4128.7998,3640390000
1074,2021-04-12,4124.71,4131.7598,4114.8198,4127.9902,4127.9902,3588900000
1075,2021-04-13,4130.1001,4148.0,4124.4302,4141.5898,4141.5898,3734720000
1076,2021-04-14,4141.5801,4151.6899,4120.8701,4124.6602,4124.6602,3985350000
1077,2021-04-15,4139.7598,4173.4902,4139.7598,4170.4199,4170.4199,4033420000
1078,2021-04-16,4174.1401,4191.3101,4170.75,4185.4702,4185.4702,4163820000
1079,2021-04-19,4179.7998,4180.8101,4150.4702,4163.2598,4163.2598,3810290000
1080,2021-04-20,4159.1802,4159.1802,4118.3799,4134.9399,4134.9399,4342650000
1081,2021-04-21,4128.4199,4175.02,4126.3501,4173.4199,4173.4199,3887250000
1082,2021-04-22,4170.46,4179.5698,4123.6899,4134.98,4134.98,4245140000
1083,2021-04-23,4138.7798,4194.1699,4138.7798,4180.1699,4180.1699,3569880000
1084,2021-04-26,4185.0298,4194.1899,4182.3599,4187.6201,4187.6201,3748320000
1085,2021-04-27,4188.25,4193.3501,4176.2202,4186.7202,4186.7202,3710700000
1086,2021-04-28,4185.1401,4201.5298,4181.7798,4183.1802,4183.1802,3787360000
1087,2021-04-29,4206.1401,4218.7798,4176.8101,4211.4702,4211.4702,4298680000
1088,2021-04-30,4198.1001,4198.1001,4174.8501,4181.1699,4181.1699,4300880000
1089,2021-05-03,4191.98,4209.3901,4188.0298,4192.6602,4192.6602,4070220000
1090,2021-05-04,4179.04,4179.04,4128.5898,4164.6602,4164.6602,4452460000
1091,2021-05-05,4177.0601,4187.7202,4160.9399,4167.5898,4167.5898,4230920000
1092,2021-05-06,4169.1401,4202.7002,4147.3301,4201.6201,4201.6201,4511000000
1093,2021-05-07,4210.3398,4238.04,4201.6401,4232.6001,4232.6001,4016080000
1094,2021-05-10,4228.29,4236.3901,4188.1299,4188.4302,4188.4302,4560700000
1095,2021-05-11,4150.3398,4162.04,4111.5298,4152.1001,4152.1001,4870710000
