,date,Price,Return,sent_mean,sent_median,sent_std,news_count,frac_neg,frac_pos,frac_neu,sent_se
106,2017-06-06,2429.3301,-0.0027829006237551,,,,,,,,
107,2017-06-07,2433.1399,0.0015670228421356,,,,,,,,
108,2017-06-08,2433.79,0.0002671499352666,,,,,,,,
109,2017-06-09,2431.77,-0.0008303258478185,-0.014778584,-0.014778584,0.0,1.0,0.0,0.0,1.0,0.0
110,2017-06-12,2429.3899,-0.0009792313929803,,,,,,,,
111,2017-06-13,2440.3501,0.0045013567486088,0.13077623,0.13077623,0.0,1.0,0.0,0.0,1.0,0.0
112,2017-06-14,2437.9199,-0.0009963368985463,,,,,,,,
113,2017-06-15,2432.46,-0.0022420847651811,,,,,,,,
114,2017-06-16,2433.1499,0.000283582127956,,,,,,,,
115,2017-06-19,2453.46,0.0083126000915443,0.42086434,0.42086434,0.0,1.0,0.0,0.0,1.0,0.0
116,2017-06-20,2437.03,-0.0067191883898731,,,,,,,,
117,2017-06-21,2435.6101,-0.0005828052189575,,,,,,,,
118,2017-06-22,2434.5,-0.0004558829252036,,,,,,,,
119,2017-06-23,2438.3,0.0015596785299304,,,,,,,,
120,2017-06-26,2439.0701,0.0003157849376242,,,,,,,,
121,2017-06-27,2419.3799,-0.008105592443993,0.16295552,0.16295552,0.08394682,2.0,0.0,0.0,1.0,0.059359363293296
122,2017-06-28,2440.6899,0.0087694775774802,,,,,,,,
123,2017-06-29,2419.7,-0.0086371796997507,,,,,,,,
124,2017-06-30,2423.4099,0.0015320324346275,0.041535098,0.041535098,0.0,1.0,0.0,0.0,1.0,0.0
125,2017-07-03,2429.01,0.002308168955567,0.22476551,0.22476551,0.0,1.0,0.0,1.0,0.0,0.0
126,2017-07-05,2432.54,0.0014522119983846,0.28806072,0.28806072,0.0,1.0,0.0,0.0,1.0,0.0
127,2017-07-06,2409.75,-0.0094129712485487,,,,,,,,
128,2017-07-07,2425.1799,0.0063826995229032,0.45298505,0.45298505,0.0,1.0,0.0,1.0,0.0,0.0
129,2017-07-10,2427.4299,0.0009273361156056,,,,,,,,
130,2017-07-11,2425.53,-0.0007829861100083,-0.013192134,-0.013192134,0.0,1.0,0.0,0.0,1.0,0.0
131,2017-07-12,2443.25,0.0072790630263669,,,,,,,,
132,2017-07-13,2447.8301,0.0018728384099594,,,,,,,,
133,2017-07-14,2459.27,0.0046625992916337,,,,,,,,
134,2017-07-17,2459.1399,-5.290327673993684e-05,,,,,,,,
135,2017-07-18,2460.6101,0.0005976726637589,,,,,,,,
136,2017-07-19,2473.8301,0.0053582700748915,,,,,,,,
137,2017-07-20,2473.45,-0.0001536601902723,,,,,,,,
138,2017-07-21,2472.54,-0.0003679748686383,,,,,,,,
139,2017-07-24,2469.9099,-0.0010642900996375,,,,,,,,
140,2017-07-25,2477.1299,0.0029189193611312,,,,,,,,
141,2017-07-26,2477.8301,0.0002826258959349,,,,,,,,
142,2017-07-27,2475.4199,-0.0009731793025673,0.3327965,0.3327965,0.46542433,2.0,0.0,0.5,0.5,0.3291046991951045
143,2017-07-28,2472.1001,-0.0013420058931508,,,,,,,,
144,2017-07-31,2470.3,-0.000728431548711,0.16555057,0.16555057,0.16228521,2.0,0.0,0.0,1.0,0.1147529715595201
145,2017-08-01,2476.3501,0.0024461414874624,0.038765013,0.038765013,0.0,1.0,0.0,0.0,1.0,0.0
146,2017-08-02,2477.5701,0.0004925392317233,-0.009061011,-0.009061011,0.0,1.0,0.0,0.0,1.0,0.0
147,2017-08-03,2472.1599,-0.0021860595040726,,,,,,,,
148,2017-08-04,2476.8301,0.0018873351476905,,,,,,,,
149,2017-08-07,2480.9099,0.0016458309314054,-0.038979184,-0.038979184,0.0,1.0,0.0,0.0,1.0,0.0
150,2017-08-08,2474.9199,-0.0024173561880336,,,,,,,,
151,2017-08-09,2474.02,-0.0003636738485824,,,,,,,,
152,2017-08-10,2438.21,-0.0145801944852269,0.26749694,0.26749694,0.0,1.0,0.0,0.0,1.0,0.0
153,2017-08-11,2441.3201,0.00127475406747,-0.042862136,-0.042862136,0.0,1.0,0.0,0.0,1.0,0.0
154,2017-08-14,2465.8401,0.0099936431964437,,,,,,,,
155,2017-08-15,2464.6101,-0.0004989402491142,,,,,,,,
156,2017-08-16,2468.1101,0.0014190955276026,,,,,,,,
157,2017-08-17,2430.01,-0.0155573434988419,0.35142705,0.26151946,0.31597355,3.0,0.0,0.3333333333333333,0.6666666666666666,0.1824274141962131
158,2017-08-18,2425.55,-0.0018370697733361,,,,,,,,
159,2017-08-21,2428.3701,0.0011619887675168,0.23232563,0.23232563,0.09458653,2.0,0.0,0.0,1.0,0.066882775950021
160,2017-08-22,2452.51,0.0098916983565278,,,,,,,,
161,2017-08-23,2444.04,-0.003459582133507,,,,,,,,
162,2017-08-24,2438.97,-0.0020765887523938,-0.013472382,-0.013472382,0.0,1.0,0.0,0.0,1.0,0.0
163,2017-08-25,2443.05,0.0016714396704077,,,,,,,,
164,2017-08-28,2444.24,0.0004869774552017,0.46532023,0.46532023,0.0,1.0,0.0,0.0,1.0,0.0
165,2017-08-29,2446.3,0.0008424428066569,,,,,,,,
166,2017-08-30,2457.5901,0.0046045566753885,,,,,,,,
167,2017-08-31,2471.6499,0.0057046677091231,,,,,,,,
168,2017-09-01,2476.55,0.0019805592744008,,,,,,,,
169,2017-09-05,2457.8501,-0.0075794378823799,,,,,,,,
170,2017-09-06,2465.54,0.0031238256961815,,,,,,,,
171,2017-09-07,2465.1001,-0.0001784352506957,,,,,,,,
172,2017-09-08,2461.4299,-0.0014899739488012,,,,,,,,
173,2017-09-11,2488.1101,0.010780985068781,,,,,,,,
174,2017-09-12,2496.48,0.0033583134013355,0.05614893,0.05614893,0.0,1.0,0.0,0.0,1.0,0.0
175,2017-09-13,2498.3701,0.0007568195450817,,,,,,,,
176,2017-09-14,2495.6201,-0.0011013238584087,,,,,,,,
177,2017-09-15,2500.23,0.0018454922450064,,,,,,,,
178,2017-09-18,2503.8701,0.0014548472529744,,,,,,,,
179,2017-09-19,2506.6499,0.0011095855460921,0.15815154,0.15815154,0.0,1.0,0.0,0.0,1.0,0.0
180,2017-09-20,2508.24,0.0006341515307397,,,,,,,,
181,2017-09-21,2500.6001,-0.0030505689030569,,,,,,,,
182,2017-09-22,2502.22,0.0006475947662448,,,,,,,,
183,2017-09-25,2496.6599,-0.0022245392584368,0.32170126,0.32908183,0.035972714,3.0,0.0,0.0,1.0,0.0207688563562548
184,2017-09-26,2496.8401,7.217382600496224e-05,,,,,,,,
185,2017-09-27,2507.04,0.0040768019709845,0.30571777,0.30571777,0.112936705,2.0,0.0,0.0,1.0,0.0798583101984713
186,2017-09-28,2510.0601,0.0012039227061804,,,,,,,,
187,2017-09-29,2519.3601,0.003698243626443,,,,,,,,
188,2017-10-02,2529.1201,0.0038665149798072,0.116407156,0.116407156,0.0,1.0,0.0,0.0,1.0,0.0
