Date,y_real,VaR_95,ES_95,VaR_99,ES_99
2022-03-09,0.02537360101599016,-0.024794519172728777,-0.041987180831880196,-0.04740912087153627,-0.06645473850395062
2022-03-10,-0.004301058523325394,-0.02197883549258393,-0.03687679275934863,-0.0432965453089086,-0.06531453878132322
2022-03-11,-0.013046264499396922,-0.022977873566555743,-0.03868963408413342,-0.04642828118722029,-0.07193620912327464
2022-03-14,-0.007448676145163794,-0.022263521497790584,-0.041157446383571494,-0.04633887229365059,-0.07334488625175864
2022-03-15,0.021182622024970933,-0.028405834502905514,-0.04259751474481738,-0.05322372211431431,-0.08190820275207314
2022-03-16,0.022136928974541403,-0.0221695696645722,-0.035815302486894636,-0.04340758680288956,-0.07430371852177413
2022-03-17,0.012272191684392812,-0.02221722208743315,-0.03712463937617144,-0.043787165048871875,-0.06982948458973962
2022-03-18,0.011594815519322477,-0.021720226733283377,-0.036686315162630774,-0.04263971576237472,-0.06540544713191981
2022-03-21,-0.0004347455745195577,-0.021638288775388915,-0.035976649067088376,-0.04255372424522131,-0.06884954839424226
2022-03-22,0.011240702264022406,-0.018770912394233206,-0.03214786054615466,-0.038079824822203345,-0.05355645780710472
2022-03-23,-0.012348646105121793,-0.021294920398261512,-0.03846857539177099,-0.041729619878753066,-0.06206089308998164
2022-03-24,0.0142420296743806,-0.022742084714171,-0.03983829849414657,-0.04772832141178204,-0.07114688668246534
2022-03-25,0.00505338013955333,-0.02138589767722324,-0.034315255358600485,-0.04193347557866679,-0.07933823444922306
2022-03-28,0.007119537637225959,-0.019288034654286603,-0.034497171065885825,-0.038546225456287345,-0.05719871049489925
2022-03-29,0.012182048876066111,-0.01826605386685001,-0.03178037995651605,-0.03725412383473938,-0.06445425615551138
2022-03-30,-0.006313588486644048,-0.02090723962449819,-0.036928203207843215,-0.04092773856442159,-0.06205426212046129
2022-03-31,-0.015776326588398722,-0.023363859227941597,-0.03861066370796512,-0.04765249143068,-0.08671304125959829
2022-04-01,0.0034044193819054934,-0.02217800535117478,-0.040683833464483184,-0.04702730077824853,-0.07847024429129543
2022-04-04,0.008058366442153127,-0.018831295976071704,-0.030436395135997586,-0.03779485840942686,-0.05824175747156379
2022-04-05,-0.012631154859671487,-0.01764169497995693,-0.030759198328506654,-0.03642138647185133,-0.05289246302456867
2022-04-06,-0.009764430637262157,-0.021990083724147017,-0.0376355939417596,-0.046485625088366095,-0.07623561059901784
2022-04-07,0.004244374755211923,-0.02679930546566061,-0.04490860301875605,-0.051380906222157,-0.07822478351654219
2022-04-08,-0.00265455204847812,-0.01846061573915452,-0.03497583896517306,-0.03746726158606309,-0.051045523092656905
2022-04-11,-0.0170213345279209,-0.018033066030455628,-0.033453398416562655,-0.036705719919993926,-0.06256744708896236
2022-04-12,-0.0034233028284936023,-0.021798659506151383,-0.03775592714855599,-0.04562974240558896,-0.07353745475715502
2022-04-13,0.011112592363942507,-0.02340126419332828,-0.04306918542174778,-0.04616792469563631,-0.06605644684213895
2022-04-14,-0.012218480504463256,-0.018011114293484568,-0.03132332590335153,-0.034872045262619604,-0.06259763569180647
2022-04-18,-0.00020488874076888134,-0.01952103218127156,-0.030554542048115117,-0.039888763243518546,-0.06124303415914105
2022-04-19,0.015930062931775152,-0.016359880481281574,-0.027484815504663196,-0.03179326907717137,-0.04369058575638781
2022-04-20,-0.0006186741091143356,-0.01902968580298593,-0.02967601187801071,-0.03646919105307858,-0.05182036003522158
2022-04-21,-0.014862846644920295,-0.017012675264023686,-0.02725412062872354,-0.03210865602288244,-0.04415226227690047
2022-04-22,-0.02813208286005661,-0.01922234200709052,-0.029684217139498967,-0.03781712304982968,-0.050531394132694786
2022-04-25,0.005681757668569282,-0.018353859167224432,-0.03199139330640801,-0.03746468533377343,-0.05937294010573336
2022-04-26,-0.02855000380519426,-0.015523887448440958,-0.02485264828202132,-0.0306969022162959,-0.04314993546986702
2022-04-27,0.0020958572385146486,-0.021658834372132497,-0.036533703414573813,-0.04541859015937498,-0.06416412029670314
2022-04-28,0.02444564600458133,-0.016694704117181138,-0.026346960540774945,-0.03257643494334518,-0.04645846086253684
